building_key,base_unit_token,record_count,condo_count,parking_count,storage_count,other_count,unit_tokens,addresses
1000 SOMERVALE CO SW,101,1,1,0,0,0,101,101 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,102,1,1,0,0,0,102,102 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,103,1,1,0,0,0,103,103 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,104,1,1,0,0,0,104,104 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,105,1,1,0,0,0,105,105 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,106,1,1,0,0,0,106,106 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,107,1,1,0,0,0,107,107 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,109,1,1,0,0,0,109,109 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,110,1,1,0,0,0,110,110 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,111,1,1,0,0,0,111,111 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,112,1,1,0,0,0,112,112 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,113,1,1,0,0,0,113,113 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,114,1,1,0,0,0,114,114 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,115,1,1,0,0,0,115,115 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,116,1,1,0,0,0,116,116 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,117,1,1,0,0,0,117,117 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,118,1,1,0,0,0,118,118 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,119,1,1,0,0,0,119,119 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,201,1,1,0,0,0,201,201 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,202,1,1,0,0,0,202,202 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,203,1,1,0,0,0,203,203 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,204,1,1,0,0,0,204,204 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,205,1,1,0,0,0,205,205 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,206,1,1,0,0,0,206,206 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,207,1,1,0,0,0,207,207 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,208,1,1,0,0,0,208,208 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,209,1,1,0,0,0,209,209 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,210,1,1,0,0,0,210,210 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,211,1,1,0,0,0,211,211 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,212,1,1,0,0,0,212,212 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,213,1,1,0,0,0,213,213 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,214,1,1,0,0,0,214,214 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,215,1,1,0,0,0,215,215 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,216,1,1,0,0,0,216,216 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,217,1,1,0,0,0,217,217 1000 SOMERVALE CO SW
1000 SOMERVALE CO SW,218,1,1,0,0,0,218,218 1000 SOMERVALE CO SW
